number,quote
1,’ said Joyce Lemprière. ‘Raymond just likes the sound of the words and of himself saying them.’
2,"isn’t he, Miss Marple?’ she demanded. ‘You know that, I am sure.’"
3,’ said the clergyman gravely.
4,"dear,’ said Miss Marple. ‘For instance Mrs Carruthers had a very strange experience yesterday morning. She bought two gills of picked shrimps at Elliot’s. She called at two other shops and when she got home she found she had not got the shrimps with her. She went back to the two shops she had visited but these shrimps had completely disappeared. Now that seems to me very remarkable.’"
5,"of course, all kinds of possible explanations,’ said Miss Marple, her cheeks growing slightly pinker with excitement. ‘For instance, somebody else—’"
6,"’ said Raymond West with some amusement, ‘I didn’t mean that sort of village incident. I was thinking of murders and disappearances—the kind of thing that Sir Henry could tell us about by the hour if he liked.’"
7,"’ said Sir Henry modestly. ‘No, I never talk shop.’"
8,’ said Joyce Lemprière.
9,"I believe,’ said Mr Petherick."
10,"’ said Raymond West, ‘what class of brain really succeeds best in unravelling a mystery? One always feels that the average police detective must be hampered by lack of imagination.’"
11,’ said Sir Henry dryly.
12,"’ said Joyce, smiling. ‘For psychology and imagination go to the writer—’"
13,"’ he said gravely. ‘One sees, perhaps, motives that the ordinary person would pass by.’"
14,"dear,’ said Miss Marple, ‘that your books are very clever. But do you think that people are really so unpleasant as you make them out to be?’"
15,’ said
16,quote
17,"‘There was talk, I suppose,’"
18,‘there usually is.’
19,"‘I am not feeling a bit well, Milly,’"
20,"‘Serves me right, I suppose, for touching lobster at night. I asked Albert to get me a bowl of cornflour, but now that I have got it I don’t seem to fancy it.’"
21,quote
22,"'I have dropped another stitch. I have been so interested in the story. A sad case, a very sad case. It reminds me of old Mr Hargraves who lived up at the Mount. His wife never had the least suspicion—until he died, leaving all his money to a woman he had been living with and by whom he had five children. She had at one time been their housemaid. Such a nice girl, Mrs Hargraves always said—thoroughly to be relied upon to turn the mattresses every day—except Fridays, of course. And there was old Hargraves keeping this woman in a house in the neighbouring town and continuing to be a Churchwarden and to hand round the plate every Sunday.'"
23,' said Raymond with some impatience. 'What has dead and gone Hargraves got to do with the case?'
24,"' said Miss Marple. 'The facts are so very alike, aren’t they? I suppose the poor girl has confessed now and that is how you know, Sir Henry.'"
25,what are you talking about?'
26,"Gladys Linch, of course—the one who was so terribly agitated when the doctor spoke to her—and well she might be, poor thing. I hope that wicked Jones is hanged, I am sure, making that poor girl a murderess. I suppose they will hang her too, poor thing.'"
27,"Miss Marple, that you are under a slight misapprehension,' began Mr Petherick."
28,"am I not? It seems so clear to me. The hundreds and thousands—and the trifle—I mean, one cannot miss it.'"
29,"dear,' she said. 'Those little pink and white sugar things. Of course when I heard that they had trifle for supper and that the husband had been writing to someone about hundreds and thousands, I naturally connected the two things together. That is where the arsenic was—in the hundreds and thousands. He left it with the girl and told her to put it on the trifle.'"
30,' said Joyce
31,quote
32,"There is, I think, rather too much superstition about such matters"
33,I have known one or two “ghosts” that have had a very robust personality
34,Atmosphere
35,I don’t know whether any of you know Dartmoor at all
36,"The house itself was unremarkable, a good solid house built of Devonshire granite"
37,Built to withstand time and exposure
38,"On the slopes of the Tor nearest to us were various hut circles, relics of the bygone days of the late Stone Age"
39,"Neolithic hut dwellers, Druids, Romans, and even traces of the early Phoenicians were to be found"
40,"”But this place is the most interesting of all,”"
41,"“That is a relic of very early days,”"
42,"“Any feeling about this place, Pender?”"
43,"“I don’t like it,”"
44,”Astarte?”
45,"”Astarte, or Ishtar, or Ashtoreth, or whatever you choose to call her."
46,"”Sacred rites,”"
47,"”Not very reputable by all accounts,”"
48,"”In the centre of the Grove there should be a Temple,”"
49,"”I call it The Idol House,”"
50,"”Astarte of the Phoenicians,”"
51,"”The Goddess of the Mooon,”"
52,"”Oh, do let us have a wild orgy tonight"
53,"”You don’t like all this, do you, Padre?”"
54,"”No,”"
55,"”You don’t believe in that sort of thing, do you? You, a parson.”"
56,”I am not sure that as a parson I ought not to believe in it.”
57,”But that sort of thing is all finished and done with.”
58,"”I am not so sure,”"
59,"”I only know this: I am not as a rule a sensitive man to atmosphere, but ever since I entered this grove of trees I have felt a curious impression and sense of evil and menace all round me.”"
60,"”Yes,”"
61,"”It is—it is queer, somehow. I know what you mean but I suppose"
62,quote
63,"I don’t like to say, I am sure, but curious things do happen. At Lady Sharpley’s garden party last year the man who was arranging the clock golf tripped over one of the numbers—quite unconscious he was—and didn’t come round for about five minutes."
64,"Of course not, dear, that is what I am telling you. Of course there is only one way that poor Sir Richard could have been stabbed, but I do wish I knew what caused him to stumble in the first place. Of course, it might have been a tree root. He would be looking at the girl, of course, and when it is moonlight one does trip over things."
