turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.861831545829773,0.6849563961651282,1.0387066954944177,0.1249585673213005,-0.04321540621993608,0.2931325408625371,14
2,0.6927667260169983,0.4725322773691711,0.9130011746648254,0.24590171873569489,0.0298792646978161,0.46192417277357367,13
3,0.6864440441131592,0.4671372976952406,0.9057507905310778,0.24855303764343262,0.03435578991025251,0.4627502853766127,13
4,0.7397263050079346,0.4996357370019934,0.9798168730138758,0.23279821872711182,-0.0022269627200360853,0.4678234001742597,12
5,0.5153365731239319,0.10937138152594483,0.9213017647219189,0.44940266013145447,0.054086315683742836,0.8447190045791662,6
6,0.7622115015983582,0.4191086664286028,1.1053143367681135,0.1791168600320816,-0.14035690922987099,0.4985906292940342,5
7,0.6979532837867737,0.27829338669776915,1.1176131808757783,0.22876431047916412,-0.17709883391857145,0.6346274548768998,4
8,0.5172677636146545,-0.42254186152782025,1.4570773887571293,0.4629455804824829,-0.4444071831478593,1.3702983441128251,2
9,0.9620746970176697,0.8962249447500698,1.0279244492852695,0.0025670744944363832,-0.0024276694182233695,0.007561818407096136,2
10,0.9956715106964111,,,1.873582004918717e-05,,,1
