turn,prob_mean,prob_ci_low,prob_ci_high,brier_mean,brier_ci_low,brier_ci_high,n_runs
1,0.4315849244594574,0.16474044732812726,0.6984294015907875,0.5640571713447571,0.2982532884356207,0.8298610542538934,14
2,0.037719134241342545,-0.010402678987212928,0.08584094746989801,0.9332180619239807,0.8495049525639783,1.0169311712839832,13
3,0.01695634238421917,-0.008404437660857356,0.042317122429295695,0.9683839082717896,0.9220891117791745,1.0146787047644046,13
4,0.041488178074359894,-0.028006723976757963,0.11098308012547775,0.9325737953186035,0.8238832983910896,1.0412642922461175,12
5,0.006035668309777975,-0.0008262457369569787,0.012897582356512928,0.9880263209342957,0.9744494131262412,1.0016032287423502,6
6,0.030164342373609543,-0.026759845525917543,0.08708853027313662,0.9439552426338196,0.8384957945483829,1.0494146907192563,5
7,0.0012458739802241325,-0.00014071017038077118,0.0026324581308290363,0.9975112676620483,0.9947434155875817,1.000279119736515,4
8,0.0013391429092735052,-0.000725098644209755,0.0034033844627567654,0.9973245859146118,0.9932016526980718,1.0014475191311518,2
9,0.0020055228378623724,-0.0012801258803642763,0.005291171556089021,0.9959957599639893,0.9894376074973837,1.0025539124305947,2
10,0.05393148213624954,,,0.8950456380844116,,,1
