quote,character
I did find some lines spoken by the character Hastings in the novel but I was unable to extract any quotes from the provided text.,hastings
"""Not while you're about""",hastings
"Young man, trust me. I've lived in the world rather longer than you have. All I ask you is to keep your eyes open. You'll see what I mean.",hastings
"You miss a lot. A really perfect bit of old china—it's pure delight to handle it, or even to look at it.",hastings
“Isn’t M. Poirot here? I wanted to speak to him.”,hastings
"But one thing, strangely enough, was the same.",hastings
I could not but suspect that he was making a deliberate excuse to get rid of me.,hastings
"no!” He stopped dead, thumping himself on the chest. “It is impossible. I cannot be wrong! The facts, taken methodically, and in their proper order, admit of only one explanation. I must be right! I am right!”",hastings
"You see, that fellow Inglethorp is back?",hastings
"""You have brought our honoured guest?”",hastings
But why—how—why should you think—?,hastings
"” went on Poirot. “The desire to incriminate her is clear—but what then of the telephone call? Why did someone ring her up at Chiswick and, once satisfied of her presence there, immediately ring off. It looks, does it not, as if someone wanted to be sure of her presence there before proceeding to—what? That was at nine thirty, almost certainly before the murder. The intention then seems—there is no other word for it—beneficent. It cannot be the murderer who rings up—the murderer has laid all his plans to incriminate Jane. Who, then, was it? It looks as though we have here two entirely different sets of circumstances.”",hastings
"Well, what am I to tell Poirot?",hastings
They wanted the ‘secret’,hastings
“Would she have refused a loan if there had been a case of illness or any dire necessity?”,hastings
"time is an advantage if—if—there has been foul play.""",hastings
"” I said, “were you mad?”",hastings
"to Theresa Arundell. I asked her to write me a letter of introduction to him. To approach him with any chance of success we must be accredited by the family. She promised to send it round to my flat by hand. It should be awaiting us there now.""",hastings
It was an accident.,hastings
Styles itself had been sold by the Cavendishes.,hastings
“No. She took an overdose of veronal.”,hastings
"” “I—well really—I don’t know. Fake up some alibi or something, I suppose.”",hastings
"""No, it’s all right. No bones broken… Just badly shaken and bruised—and of course she’s had a bad shock. But she’s been very lucky that it’s no worse.""",hastings
"and Norton realized it just at the moment that the words came out. He tried to catch them back, hesitated, stammered, and stopped awkwardly. It made the whole thing worse.”",hastings
"You may not have realized it, but I wear a wig, Hastings. You will realize even less that I wear a false moustache.",hastings
"""Good idea,""",hastings
“The character of the murder—implying as it does a certain temperament in the murderer—that is an essential clue to the crime.”,hastings
“The man you murdered so foully. And you come here—”,hastings
"“Pauvre femme,”",hastings
"""He wants her found—but he does not want me to find her.""",hastings
So I've noticed,hastings
"“Marry and arrange myself,” he said again. “Who knows?”",hastings
"the story that you have recounted to me there—but it bears no sort of resemblance to everyday life."",",hastings
"But why, George, why?",hastings
"You are annoyed, is it not so?",hastings
"“Poirot,” I cried. “You have dyed your hair!”",hastings
You are sure of that?,hastings
"damn it all, Poirot. I simply can’t believe it now. You can’t know! It’s all pure hypothesis.""",hastings
