number,quote
1,quote
2,"“But at my age, one takes no risks.”"
3,"“If one partakes of the five o’clock, one does not, approach the dinner with the proper quality of expectant gastric juices. And the dinner, let us remember, is the supreme meal of the day!”"
4,"“No, chocolate and croissants for breakfast, Déjeuner at twelve-thirty if possible but certainly not later than one o’clock, and finally the climax: Le Dîner!”"
5,"“If only, ce cher Hastings were available.”"
6,"“Ce cher, cher ami! It is my weakness, it has always been my weakness, to desire to show off. That weakness, Hastings could never understand. But indeed it is very necessary for a man of my abilities to admire myself—and for that one needs stimulation from outside. I cannot, truly I cannot, sit in a chair all day reflecting how truly admirable I am. One needs the human touch. One needs—as they say nowadays—the stooge.”"
7,"“The truth is, I am not in tune with the modern world. And I am, in a superior way, a slave as other men are slaves. My work has enslaved me just as their work enslaves them. When the hour of leisure arrives, they have nothing with which to fill their leisure. The retired financier takes up golf, the little merchant puts bulbs in his garden, me, I eat. But there it is, I come round to it again. One can only eat three times a day. And in between are the gaps.”"
8,“Was I? I wonder. I’m not so sure.”
9,"“Yes, yes, you were wise.”"
10,“You should have seen one of my marrows last year. Colossal! And my roses. I’m keen on roses. I’m going to have—”
11,"“No, no, you came to see an old acquaintance—it was kind. I appreciate it.”"
12,"“There is a mortgage, possibly, on your house? You would like a loan—”"
13,"“Oh, good"
14,quote
15,I demand your pardon.
16,But continue.
17,How did she die?
18,How did she die?
19,Not with attention.
20,But continue.
21,How did she die?
22,Nothing. Just a game. Child’s game.
23,How did she die?
24,Like THIS!
25,How did she die?
26,"She was hit on the back of her head with some sharp, heavy implement."
27,But continue.
28,The place wasn’t broken into.
29,But continue.
30,Who found her?
31,But continue.
32,And Bentley was eventually arrested and tried.
33,Why?
34,"And then, after the verdict, you got in a train and came to London and came here to see me. Why?"
35,You came to me—
36,Superintendent Spence looked up. The colour in his face was deeper than it had been.
37,"For one thing, you know, he wasn’t cocky."
38,And in my experience they usually are.
39,He was not like that?
40,"No. He was—well, just scared stiff."
41,"What is he like, this James Bentley?"
42,"No, I do not mean his physical characteristics. What sort of a personality?"
43,Oh—that. Unprepossessing sort of fellow. Nervous manner.
44,"He does not sound attractive, your James Bentley."
45,And you think he will be hanged?
46,quote
47,Did he have a good counsel?
48,"You’ve got it. Awful cheek, you’ll think."
49,"And you have intrigued me—yes, you have intrigued me very much."
50,"there is the principle of the thing. If a man has not committed murder, he should not be hanged."
51,"And two heads are better than one? Voilà, everything is settled."
52,Let us at once get down to the brass tacks.
53,"I apologize, my friend, for treading in your footsteps."
54,What about the cottage? Do they get that?
55,"Describe her to me—and not only in physical terms, if you please."
56,Very obliging of him. And did niece and husband know that too?
57,Then we have now arrived back at my first question to you. How did Mrs. McGinty die?
58,quote
59,"Therefore, either James Bentley must have killed her, or else she must have admitted her killer herself whilst Bentley was out?"
60,"Would be because you were living in that house, but didn’t want to hide it in your room or anywhere inside. In fact: James Bentley."
61,How did he account for that?
62,Said he remembered brushing up against a butcher’s shop the previous day. Baloney! It wasn’t animal blood.
