run_id,character,slope,r2,p_value,std_err
run_20260115_184344,holmes,0.0996502152378317,0.38038466487033507,0.14015971226311574,0.05687780365988984
run_20260115_184344,marple,0.01121650551737382,0.003874861429852494,0.8945284807121664,0.08042691939581374
run_20260115_184344,poirot,0.08395327914912612,0.28464298988085635,0.21746635026703637,0.05952012494769311
run_20260115_184527,holmes,0.14408097246169688,0.14775226159491606,0.5229194352064103,0.19978453345857408
run_20260115_184527,marple,-0.04071176076676393,0.24290711232024886,0.39889816124838245,0.04149671576591386
run_20260115_184527,poirot,0.06968037110330705,0.07327140921348552,0.6596070445984934,0.14307337973311002
run_20260115_184643,holmes,0.2733253710843388,0.9135664806299149,0.011078174404735169,0.04853894572397409
run_20260115_184643,marple,0.30324445805415295,0.5628926363996866,0.14407325664174717,0.15428138289474916
run_20260115_184643,poirot,0.178147667527791,0.26204214375636903,0.3779326240152621,0.17260354914388726
run_20260115_184824,holmes,0.025734735477109968,0.12057534504325895,0.5000748564385534,0.03475039734047952
run_20260115_184824,marple,0.13093400773947597,0.368498293823008,0.20128580859990267,0.08570220366682037
run_20260115_184824,poirot,0.11899323194773455,0.1976464831829272,0.37707254773741145,0.1198755463336989
run_20260115_184954,holmes,0.2728145537938884,0.9439646150053583,0.0057272496207915555,0.03837604636103136
run_20260115_184954,marple,-0.3664058469008753,0.6926202593991133,0.0803769643651073,0.1409262165155347
run_20260115_184954,poirot,0.20037643174694503,0.43801843492366654,0.22370574827444056,0.13103908483608692
run_20260115_190152,holmes,0.06164116109391573,0.0717948717948721,0.7320543491771665,0.15672240314395966
run_20260115_190152,marple,0.029661425701499367,0.016813730243381952,0.8703322312855577,0.1603846825542524
run_20260115_190152,poirot,-0.17186010279151598,0.2211357158517867,0.5297493053149345,0.2280665107175434
run_20260115_190417,holmes,0.03564284825158391,0.07696685897601707,0.5058953468710718,0.05039106556026594
run_20260115_190417,marple,0.011174962904346412,0.0034970744785866037,0.8893781062879689,0.07701180688195933
run_20260115_190417,poirot,0.124748283431287,0.6259480967054531,0.01935098944332417,0.039369121692486575
run_20260115_190823,holmes,0.22995355226269215,0.6456421478573274,0.1014105748004042,0.09835684490830933
run_20260115_190823,marple,-0.0894918523036683,0.5542439630342493,0.14896797262566375,0.046336262549581654
run_20260115_190823,poirot,-0.07859455920343728,0.11737089201878004,0.5724851857066522,0.12443449095487578
run_20260115_190940,holmes,0.4528738366083602,0.8494531153987955,0.25367046398505655,0.19065289795035703
run_20260115_190940,marple,-0.13434881053032088,0.1313314037626634,0.7639170917413642,0.34552270675675945
run_20260115_190940,poirot,-0.09606001680420129,0.42540419018463815,0.5476671258354622,0.11164081645248235
run_20260115_191025,holmes,0.31481021558678396,0.6193851279721337,0.2129897535786882,0.1745003527266082
run_20260115_191025,marple,0.2755895405618725,0.19973016472020755,0.5530881913394907,0.39007141567493947
run_20260115_191025,poirot,0.08395894975224316,0.14367136288732663,0.6209599455369829,0.14493962309307243
run_20260115_191251,holmes,0.23115435410218388,0.49273743016759763,0.2980474160118808,0.16584245276556234
run_20260115_191251,marple,0.11035795150704952,0.3416820135052181,0.41546427525324114,0.10831670348832748
run_20260115_191251,poirot,-0.12854576794162173,0.577353342428376,0.24016229204627146,0.07776974276883737
run_20260115_191348,holmes,0.29866610196694887,0.525377820771024,0.2751704884795156,0.20072852028984786
run_20260115_191348,marple,0.16959356342269083,0.8065150583896747,0.10193816560902977,0.05873699346336458
run_20260115_191348,poirot,-0.02246343994815516,0.015276415145020872,0.8764022041255564,0.12752863430473835
run_20260115_191756,holmes,-0.09606414715934919,0.8120300751879708,0.2854820100499837,0.04621888435160169
