number,character,quote
1,sh,"It was evidently taken by a snap-shot from a small camera. It
     represented an alert, sharp-featured simian man with thick eyebrows,
     and a very peculiar projection of the lower part of the face like the
     muzzle of a baboon."
2,hp,"In all, I should say the various sums totaled at least twenty thousand
pounds."
3,sh,"Well, that is the curious part of it. You could have got fifteen to
     one yesterday, but the price has become shorter and shorter, until
     you can hardly get three to one now."
4,hp,"I quite understand. And the three young men? Coleman, you say, was inclined to be poetic about her."
5,mm,"I would suggest—this is just a mere suggestion—that the warning should come from somebody who is known to have rather unusual views on these matters. Dr. Haydock’s conversation would lead anyone to suppose that he might view such a thing as murder from an unusual angle. If he were to hint that somebody—Mrs. Sadler—or one of her children—had actually happened to see the transposing of the cachets—well, of course, if Mr. Redding is an innocent man, that statement will mean nothing to him, but if he isn’t—"
6,hp,Why did you say that Miss Grey was a liar?
7,hp,"Didn’t catch his name properly. Oh yes, I’ve heard of him. But I thought he was dead. Dash it, he ought to be dead. What’s he after down here?"
8,mm,I’m going to get a bottle of champagne. We’ll all drink the health of your Uncle Henry.
9,mm,He had a very high opinion of you.
10,sh,"Mr. Holmes, the envelope is a long, thin one of pale blue colour.
     There is a seal of red wax stamped with a crouching lion. It is
     addressed in large, bold handwriting to--"
11,sh,"I think your idea is
     an excellent one."
12,sh,"If they are not worth more than the last ones they are not of much
     use,"
13,sh,"Here is the candle in the window, Mr. Holmes,"
14,sh,"He had lost them all, sir, except the one which was in his blow-pipe
     at the time."
15,mm,"She wouldn’t listen. I—I tried to keep him away from the house. I told him he was not to come here any more. That of course was stupid. I realized that afterwards. It only meant that she went and met him outside the house. I don’t know where. They had various meeting places. He used to call for her in his car at an agreed spot and bring her home late at night. Once or twice he didn’t bring her home until the next day. I tried to tell them it must stop, that it must all cease, but they wouldn’t listen. Verity wouldn’t listen. I didn’t expect him to, of course."
16,hp,Did she say who it was she saw?
17,sh,"Because this stick, though originally a very handsome one has been
     so knocked about that I can hardly imagine a town practitioner
     carrying it. The thick-iron ferrule is worn down, so it is evident
     that he has done a great amount of walking with it."
18,hp,"Well, that was pretty natural under the circumstances, don’t you think?"
19,sh,"Is this cove trying to be funny, or what? I'm not in the funny mood
     myself."
20,hp,"Mr. MacQueen, will you tell me, quite honestly, exactly how you regarded your employer? Did you like him?"
21,hp,"Did he tell you anything about this enemy of his? Did he, for instance, say why his life was threatened?"
22,hp,"See you, I recognize my own weaknesses. It has been said of me that I like to make a case difficult. This solution that you put to me—it is too simple, too easy. I cannot feel that it really happened. And yet, that may be the sheer prejudice on my part."
23,sh,"it's as
     workmanlike a job as I can remember."
24,sh,"You traced him through the telegram, no doubt,"
25,mm,I shall apologize to them for having used them as useful characters to distract attention from my real ideas.
26,hp,"Well, you see, she didn’t actually tell me. As a matter of fact I wasn’t even listening very carefully. I was going over the Jacqueline business in my mind. As far as I remember, Linnet said something about doing people down in business, and that it made her uncomfortable to meet anyone who had a grudge against her family. You see, although I don’t really know the family history very well, I gather that Linnet’s mother was a millionaire’s daughter. Her father was only just ordinary plain wealthy, but after his marriage he naturally began playing the markets or whatever you call it. And as a result of that, of course, several people got it in the neck. You know, affluence one day, the gutter the next. Well, I gather there was someone on board whose father had got up against Linnet’s father and taken a pretty hard knock. I remember Linnet saying: ‘It’s pretty awful when people hate you without even knowing you.’"
27,mm,"He had a very young housekeeper—young enough to be not only his daughter, but his granddaughter. Not a word to anyone, and his family, a lot of nephews and nieces, full of expectations. And when he died, would you believe it, he’d been secretly married to her for two years? Of course Mr. Badger was a chemist, and a very rude, common old man as well, and Sir Ambrose Bercy was a very courtly gentleman, so Mrs. Bantry says, but for all that human nature is much the same everywhere."
28,hp,"I know exactly what you mean, my child, and I agree with you. Mrs. Redfern is not of those who, as your saying goes, ‘sees red.’ She would not be"
29,mm,Was it a man or a woman they saw?
30,hp,"And I’ll tell you this, M. Poirot. Ruth—my wife—was innocent. That I know with complete and absolute certainty. In the intimacy of our life I could not have been deceived. She was an innocent victim of circumstances."
31,hp,An old woman of the name of Ascher who keeps a little tobacco and newspaper shop has been found murdered.
32,mm,"One never knows. His wife died young and I think it possible that her death saddened him very much, though he was never willing to show it. How much he cared for his son and daughters I don’t know. He provided for them. He did his best for them. He did his best for his son, but what his feelings were one cannot say. He was not an easy man to read that way. I think his whole life and interest lay in his profession of making money. It was the making of it, like all great financiers, that interested him. Not the actual money which he secured by it. That, as you might say, was sent out like a good servant to earn more money in more interesting and unexpected ways. He enjoyed finance. He loved finance. He thought of very little else.

“I think he did all that was possible for his son. He got him out of scrapes at school, he employed good lawyers to get him released from Court proceedings whenever possible, but the final blow came, perhaps presaged by some early happenings. The boy was taken to Court on a charge of assault against a young girl. It was said to be assault and rape and he suffered a term of imprisonment for it, with some leniency shown because of his youth. But later, a second and really serious charge was brought against him."
33,hp,Do you think men care for goodness or brains?
34,sh,"said
     my companion, gravely; and as he spoke there rushed into the room
     half a dozen of the dirtiest and most ragged street Arabs that ever I
     clapped eyes on."
35,sh,"And you will report very carefully to me,"
36,mm,"We wondered, you know. I thought you must have gone out for a walk somewhere and I did so hope you wouldn’t overtire yourself. If I had known you had come downstairs and gone out, I would have come with you to show anything there is to show. Not that there is very much."
37,mm,that you will be allowed to do that.
38,mm,"I see. At least—I hope I don’t see,"
39,hp,"I did correspondence with Sir Carmichael in the morning—saw the housekeeper. I wrote letters and did needlework in the afternoon, I fancy. It is difficult to remember. It was quite an ordinary day. I went to bed early."
40,hp,"I’m no end glad we came on this trip. It’s—well, it’s cleared things up. Amazing why it should—but there it is. Linnet’s got her nerve back. She say’s it’s because shes actually faced the business at last."
41,hp,you have just told us that the pistol was out of sight under the settee. Therefore it is hardly credible that it was discovered by accident. It was taken by someone who knew it was there. Therefore that someone must have assisted at the scene.
42,hp,"Well, it’s true enough. Kenneth Marshall and I were more or less children together. The Marshalls lived next door to us. Ken was always nice to me—although condescending, of course, since he was four years older. I’ve not seen anything of him for a long time. It must be—fifteen years at least."
43,hp,Look at Stoneman in 1929. He ended by trying to do away with anyone who annoyed him in the slightest degree.
44,sh,"He has been interesting
     himself also in your business, Mr. Josiah Amberley, though we have
     been working independently. But we both have the same question to ask
     you!"
45,hp,"Dr. Sheppard has been a model of discretion,"
46,hp,"Will you trust me, my child, to do the best I can for you in your bitter trouble?"
47,hp,"No, Monsieur. I have only two other passengers—both English. A Colonel from India, and a young English lady from Baghdad. Monsieur requires anything?"
48,sh,"Well, I couldn't be sure of that, but I dare say my fare knew all
     about it. We pulled up half-way down the street and waited an hour
     and a half. Then the two gentlemen passed us, walking, and we
     followed down Baker Street and along--"
49,mm,"we can’t help—well, thinking about that sort of thing. I mean, there must be some explanation. If the police seem sure it wasn’t an accident, well then it must have been done by somebody and—well, I mean, Miss Temple was a stranger to this place here. It doesn’t seem as if anyone could have done it—anyone local I mean. So it really comes back to—well, I mean, to all of us who were in the coach, doesn’t it?"
50,hp,"I am not mad. It was the little
discrepancy in time that first drew my attention to you—right at the
beginning."
51,mm,for you to give me an answer now.
52,mm,"Joanna’s had enough of that aunt of hers, bossing her around all the time."
53,sh,"Yet we added one more sheaf to our harvest before we left Woolwich
     Station. The clerk in the ticket office was able to say with
     confidence that he saw Cadogan West--whom he knew well by sight--upon
     the Monday night, and that he went to London by the 8.15 to London
     Bridge. He was alone and took a single third-class ticket. The clerk
     was struck at the time by his excited and nervous manner. So shaky
     was he that he could hardly pick up his change, and the clerk had
     helped him with it. A reference to the timetable showed that the 8.15
     was the first train which it was possible for West to take after he
     had left the lady about 7.30."
54,sh,"Here, Lestrade, your brandy-bottle! Put
     her in the chair! She has fainted from ill-usage and exhaustion."
55,mm,the people of St. Mary Mead react rather differently. Chinese philosophy does not appeal to them.
56,hp,"I hardly think so. I suppose he is on board. The information was very precise. Oh, well, one job at a time. Let’s have a go at Pennington."
57,hp,I do not think you have either of you appreciated the most interesting point about that watch.
58,mm,"but you do still know and believe one thing, don’t you?"
59,sh,"that someone is not ill-disposed towards
     you, since they warn you of danger."
60,mm,"Oh, but surely, dear, dear Vicar, you don’t think that he is guilty?"
61,hp,"Now let us go on with the story. He came that
night to the summer-house?"
62,mm,"Getting born, you know, and growing up—and coming into contact with other people—getting jostled—and then marriage and more babies—"
63,hp,"She did not seem excited, or depressed, or upset in any way?"
64,sh,"And now it is
     time that we arranged our little plans. I expect that within an hour
     matters will come to a head. In the meantime Mr. Merryweather, we
     must put the screen over that dark lantern."
65,mm,by the dying wishes of Michael Rafiel’s father. He asked me to do this for him.
66,mm,That makes all the difference in the world.
67,sh,"We were as good as our word, for it was just seven when we reached
     the Copper Beeches, having put up our trap at a wayside public-house.
     The group of trees, with their dark leaves shining like burnished
     metal in the light of the setting sun, were sufficient to mark the
     house even had Miss Hunter not been standing smiling on the
     door-step."
68,hp,I suppose this is the Sherlock Holmes touch!
69,sh,"Can a husband ever carry
     about a secret all his life and a woman who loves him have no
     suspicion of it? I knew it by his refusal to talk about some episodes
     in his American life. I knew it by certain precautions he took. I
     knew it by certain words he let fall. I knew it by the way he looked
     at unexpected strangers. I was perfectly certain that he had some
     powerful enemies, that he believed they were on his track, and that
     he was always on his guard against them. I was so sure of it that for
     years I have been terrified if ever he came home later than was
     expected."
70,hp,but I think I can say definitely that death occurred between midnight and two in the morning.
71,mm,"For myself, I would prefer to wait somewhere peacefully for the return of Mrs. Sandbourne. It is important, I think, that we should know exactly what we are in for."
72,sh,"It
     is certainly ten to one that they go down-stream, but we cannot be
     certain. From this point we can see the entrance of the yard, and
     they can hardly see us. It will be a clear night and plenty of light.
     We must stay where we are. See how the folk swarm over yonder in the
     gaslight."
73,sh,"because you once enabled
     my employer, Mrs. Cecil Forrester, to unravel a little domestic
     complication. She was much impressed by your kindness and skill."
74,sh,"Well, good-morning, Mr. Gibson. You have a good deal yet to learn."
75,sh,"I only wished to ask you how you would go
     from here to the Strand."
76,mm,"Yes indeed. It seems quite impossible to me. I don’t know how you did it, Miss Marple."
77,mm,"Do you know—it’s a curious thing your saying that. Now I come to think back, I believe you’re right. She—yes, she did seem, if anything, to be putting on weight."
78,sh,Mr. Nathan Garrideb shrugged his shoulders with a disconsolate air.
79,mm,"I’m not really as callous as I sound. One treats a thing lightly to take away from the—well, the horror of it."
80,hp,You think Major Blunt has something to conceal also?
81,sh,"I don't know that I have anything else to tell you. I had heard a
     waterman speak of the speed of Smith's launch, the Aurora, so I
     thought she would be a handy craft for our escape. I engaged with old
     Smith, and was to give him a big sum if he got us safe to our ship.
     He knew, no doubt, that there was some screw loose, but he was not in
     our secrets. All this is the truth, and if I tell it to you,
     gentlemen, it is not to amuse you,--for you have not done me a very
     good turn,--but it is because I believe the best defence I can make
     is just to hold back nothing, but let all the world know how badly I
     have myself been served by Major Sholto, and how innocent I am of the
     death of his son."
82,sh,"Mr. Henry Wood, late of India, I believe,"
83,hp,"She’s not very young, and she’s nervous about herself, and she likes to have a nurse around handy. There’s nothing serious the matter with her. She just likes plenty of attention, and she’s willing to pay for it."
84,mm,I am talking at much too great a length. I really must not inflict on you all that I thought and….
85,mm,I talked to Sister Barker on the telephone.
86,mm,You’ve got to go to London and set certain things moving.
87,hp,"You may have noticed I had a new manservant today—a friend of mine—an expert sneak thief. He removed your pistol from your pocket, unloaded it, and returned it, all without you being aware of the fact."
88,hp,"As yet I am only taking you all on a journey—my journey towards the truth. I had now established one fact—that all the members of the expedition staff, and also Nurse Leatheran, could in actual fact have committed the murder. That there was very little likelihood of some of them having committed it was a secondary matter.

“I had examined means and opportunity. I next passed to motive. I discovered that one and all of you could be credited with a motive!"
89,mm,"that I’ve got wasps on the brain. Poor things, destroyed in their thousands—and usually on such a beautiful summer’s day. But I remember thinking, when I saw the gardener shaking up the cyanide of potassium in a bottle with water, how like smelling salts it looked. And if it were put in a smelling salt bottle and substituted for the real one—well, the poor lady was in the habit of using her smelling salts. Indeed you said they were found by her hand. Then, of course, while Mr. Pritchard went to telephone to the doctor, the nurse would change it for the real bottle, and she’d just turn on the gas a little bit to mask any smell of almonds and in case anyone felt queer, and I always have heard that cyanide leaves no trace if you wait long enough. But, of course I may be wrong, and it may have been something entirely different in the bottle; but that doesn’t really matter, does it?"
90,hp,"There may be a natural explanation for that,"
91,mm,"They’d expect to buy it for a song,"
92,sh,"Well, we may save the police some little trouble in that direction,"
93,hp,Yes. He probably hid in that cave until he got his chance.
94,sh,"having secured the future, we can afford to be more lenient with the
     past. I am not in an official position, and there is no reason, so
     long as the ends of justice are served, why I should disclose all
     that I know. As to Hayes I say nothing. The gallows awaits him, and I
     would do nothing to save him from it. What he will divulge I cannot
     tell, but I have no doubt that your Grace could make him understand
     that it is to his interest to be silent. From the police point of
     view he will have kidnapped the boy for the purpose of ransom. If
     they do not themselves find it out I see no reason why I should
     prompt them to take a broader point of view. I would warn your Grace,
     however, that the continued presence of Mr. James Wilder in your
     household can only lead to misfortune."
95,mm,"I want you to make enquiries there about a parcel which was sent from here two days ago, posted from this post office."
96,hp,"I wish, though, M. Poirot, that you’d played up to her a bit. Why didn’t you? Why didn’t you tell her that you were down here investigating a particularly gruesome murder, and that the murderer, a homicidal maniac, was certainly to be found among the guests of the hotel?"
97,hp,"Faith, I’d like to see the old boy pixy-led himself!"
98,sh,"If it's a local villain there should not be much difficulty in
     running him down,"
99,hp,you may not want the truth but—ma foi—you can speak it!
100,mm,"Now, who has been talking? I suppose the girl has. Quite frankly, I’m almost certain she took it. And then got frightened and put it back—but, of course, one can’t say anything unless one is sure."
101,sh,"I confess that you had one small surprise for me,"
102,sh,"My cab's at the door. If you'll loose my legs I'll walk down to it.
     I'm not so light to lift as I used to be."
103,mm,"Nothing professional, that is to say. I have never been a probation officer or indeed sat as a magistrate on a Bench or been connected in any way with a detective agency. To explain to you, Mr. Broadribb, which I think it is only fair for me to do and which I think Mr. Rafiel ought to have done, to explain it in any way all I can say is that during our stay in the West Indies, we both, Mr. Rafiel and myself, had a certain connection with a crime that took place there. A rather unlikely and perplexing murder."
104,mm,"Well, I don’t know that it affected her appearance at all,"
105,hp,"I don’t know why I’ve come to you,"
106,mm,More difficult than the problem of the blue geranium?
107,hp,"It leaves, somehow, too much to chance. And besides—somewhere the picture is not true. I cannot, you see, imagine this man…the man who is mad with rage and jealousy."
108,mm,"Victorian glass of a most hideous kind, I think myself. No expense spared. I’m afraid my uncle was partly to blame. He was very pleased with those rather crude reds and blues."
109,hp,"What are you hinting at, M. Poirot? What is the meaning of all this?"
